time	90-100-1
2.35414	0.00087
2.43314	0.00088
2.51114	0.00087
2.59015	0.0009
2.66915	0.00092
2.74716	0.00087
2.82616	0.00084
2.90417	0.00084
2.98317	0.00092
3.06118	0.00087
3.14018	0.00094
3.21818	0.00094
3.29719	0.0009
3.37519	0.00085
3.4542	0.00084
3.5322	0.00096
3.61121	0.00701
3.68921	0.00526
3.76822	0.00392
3.84622	0.00425
3.92522	0.00452
4.00323	0.005
4.08223	0.00543
4.16024	0.00593
4.23924	0.00641
4.31725	0.00692
4.39625	0.00748
4.47426	0.00807
4.55326	0.00851
4.63127	0.00918
4.71027	0.00971
4.78927	0.01023
4.86728	0.01079
4.94628	0.01127
5.02429	0.01181
5.10329	0.01239
5.1813	0.01283
5.2603	0.01345
5.33931	0.0139
5.41731	0.01455
5.49631	0.0151
5.57432	0.01563
5.65332	0.01617
5.73133	0.01671
5.81033	0.01728
5.88934	0.01795
5.96734	0.01849
6.04635	0.01906
6.12535	0.01964
6.20336	0.02022
6.28236	0.02083
6.36036	0.02135
6.43937	0.02169
6.51837	0.02142
6.59638	0.02168
6.67538	0.02218
6.75339	0.02257
6.83239	0.02291
6.9114	0.02348
6.9894	0.02402
7.06841	0.02445
7.14641	0.02489
7.22541	0.02533
7.30342	0.02584
7.38242	0.02629
7.46143	0.0269
7.53943	0.02746
7.61844	0.02787
7.69744	0.02853
7.77544	0.02917
7.85445	0.02966
7.93245	0.03051
8.01146	0.031
8.08946	0.03156
8.16847	0.03235
8.24647	0.03226
8.32548	0.03175
8.40448	0.03097
8.48249	0.03017
8.56149	0.02942
8.63949	0.0286
8.7185	0.02781
8.7975	0.02712
8.87551	0.02645
8.95451	0.02573
9.03252	0.02508
9.11152	0.02428
9.19053	0.02363
9.26853	0.0231
9.34754	0.02247
9.42554	0.02186
9.50454	0.02139
9.58255	0.02087
9.66155	0.02039
9.74056	0.01985
9.81856	0.01952
9.89757	0.01962
9.97557	0.02
10.0546	0.01978
10.1326	0.01981
10.2116	0.02007
10.2896	0.02032
10.3686	0.02065
10.4466	0.02087
10.5256	0.02114
10.6036	0.02137
10.6826	0.02167
10.7616	0.02196
10.8396	0.02231
10.9186	0.02262
10.9966	0.02291
11.0756	0.02349
11.1536	0.02353
11.2326	0.02402
11.3106	0.02432
11.3897	0.02462
11.4677	0.025
11.5467	0.02535
11.6257	0.02545
11.7037	0.0251
11.7827	0.02468
11.8607	0.02416
11.9397	0.02389
12.0177	0.0236
12.0967	0.02327
12.1747	0.02287
12.2537	0.02254
12.3327	0.02228
12.4107	0.0219
12.4897	0.02158
12.5677	0.02124
12.6467	0.02095
12.7247	0.02061
12.8037	0.02035
12.8817	0.02015
12.9607	0.01987
13.0387	0.01962
13.1178	0.01946
13.1968	0.01925
13.2748	0.01958
13.3538	0.01979
13.4328	0.0194
13.5108	0.01933
13.5898	0.01938
13.6678	0.01967
13.7468	0.01974
13.8258	0.02002
13.9038	0.02018
13.9828	0.02034
14.0608	0.0206
14.1398	0.02083
14.2178	0.02101
14.2958	0.02124
14.3748	0.02148
14.4538	0.02177
14.5318	0.02201
14.6108	0.02233
14.6888	0.02264
14.7678	0.02272
14.8458	0.02303
14.9249	0.02334
15.0029	0.02372
15.0819	0.02354
15.1599	0.02284
15.2389	0.02279
15.3179	0.02251
15.3959	0.02223
15.4749	0.02203
15.5529	0.02178
15.6319	0.02151
15.7099	0.02136
15.7889	0.02107
15.8669	0.02085
15.9459	0.02073
16.0239	0.02051
16.1029	0.02031
16.1809	0.02005
16.2599	0.01976
16.3379	0.01976
16.4169	0.01955
16.4959	0.01948
16.5739	0.01944
16.653	0.01978
16.731	0.02024
16.81	0.01967
16.889	0.01929
16.967	0.01936
17.046	0.01939
17.125	0.01953
17.203	0.01974
17.282	0.01986
17.361	0.01994
17.439	0.02014
17.518	0.02032
17.596	0.02053
17.674	0.02066
17.753	0.0209
17.832	0.02109
17.91	0.02126
17.989	0.02148
18.067	0.02162
18.146	0.02177
18.225	0.02203
18.303	0.02224
18.3821	0.02269
18.4601	0.0228
18.5391	0.02231
18.6171	0.02201
18.6961	0.02195
18.7741	0.02161
18.8531	0.02155
18.9311	0.02134
19.0101	0.02116
19.0881	0.02109
19.1671	0.02084
19.2461	0.02067
19.3241	0.02052
19.4031	0.02035
19.4811	0.02019
19.5601	0.02023
19.6381	0.01979
19.7171	0.01977
19.7961	0.01969
19.8741	0.01958
19.9531	0.01954
20.0321	0.01985
20.1102	0.02053
20.1892	0.01999
20.2682	0.01951
20.3462	0.01946
20.4252	0.01958
20.5032	0.01953
20.5822	0.01969
20.6612	0.01969
20.7392	0.01982
20.8182	0.02006
20.8962	0.02009
20.9752	0.02021
21.0532	0.02038
21.1312	0.02052
21.2102	0.02074
21.2892	0.0209
21.3672	0.02086
21.4462	0.02104
21.5242	0.02125
21.6032	0.02147
21.6812	0.02173
21.7602	0.02214
21.8382	0.02233
21.9173	0.02183
21.9963	0.02156
22.0743	0.02152
22.1533	0.02135
22.2313	0.02127
22.3103	0.02103
22.3883	0.0208
22.4673	0.02065
22.5453	0.02058
22.6243	0.0205
22.7023	0.02034
22.7813	0.02023
22.8593	0.02018
22.9373	0.02001
23.0163	0.01993
23.0953	0.01978
23.1743	0.01976
23.2523	0.01981
23.3313	0.01968
23.4093	0.0201
23.4883	0.02053
23.5663	0.01982
23.6454	0.01983
23.7244	0.01961
23.8024	0.01961
23.8814	0.01969
23.9604	0.01967
24.0394	0.01974
24.1174	0.01982
24.1964	0.01987
24.2744	0.02005
24.3534	0.02019
24.4314	0.02018
24.5094	0.02035
24.5884	0.02049
24.6674	0.0207
24.7454	0.02076
24.8244	0.02086
24.9024	0.02101
24.9814	0.02116
25.0604	0.02141
25.1384	0.02186
25.2174	0.02233
25.2954	0.02161
25.3745	0.02138
25.4535	0.02131
25.5315	0.02117
25.6095	0.0211
25.6885	0.02101
25.7665	0.02083
25.8455	0.02086
25.9245	0.0206
26.0025	0.02045
26.0805	0.0204
26.1595	0.02041
26.2375	0.02028
26.3165	0.0201
26.3945	0.02004
26.4735	0.02
26.5515	0.01992
26.6305	0.02003
26.7085	0.01986
26.7875	0.02018
26.8655	0.02074
26.9445	0.0207
27.0235	0.02007
27.1016	0.01986
27.1806	0.01979
27.2596	0.01971
27.3376	0.01984
27.4166	0.0198
27.4956	0.01983
27.5736	0.01996
27.6526	0.02012
27.7306	0.02023
27.8096	0.02011
27.8876	0.02009
27.9666	0.02036
28.0446	0.02041
28.1226	0.02058
28.2016	0.02058
28.2806	0.0208
28.3586	0.02095
28.4376	0.0212
28.5156	0.02154
28.5946	0.02209
28.6726	0.02158
28.7516	0.02113
28.8306	0.02105
28.9087	0.02107
28.9867	0.02094
29.0657	0.02083
29.1447	0.02072
29.2227	0.02081
29.3017	0.02072
29.3807	0.02057
29.4587	0.02045
29.5377	0.02034
29.6157	0.02048
29.6937	0.02027
29.7727	0.02019
29.8507	0.02012
29.9297	0.02019
30.0077	0.02024
30.0857	0.02012
30.1647	0.02033
30.2427	0.02083
30.3217	0.02072
30.4007	0.02038
30.4787	0.02009
30.5577	0.01991
30.6358	0.01989
30.7148	0.01988
30.7938	0.01996
30.8728	0.01996
30.9508	0.02004
31.0288	0.02007
31.1078	0.02012
31.1858	0.02019
31.2648	0.02024
31.3428	0.02032
31.4218	0.02031
31.4998	0.02049
31.5788	0.02056
31.6568	0.02076
31.7358	0.02079
31.8138	0.02109
31.8928	0.02157
31.9708	0.02197
32.0498	0.02162
32.1278	0.02128
32.2068	0.02109
32.2848	0.02104
32.3639	0.02107
32.4429	0.0209
32.5209	0.0208
32.5999	0.02075
32.6779	0.02068
32.7569	0.02061
32.8349	0.02057
32.9139	0.02036
32.9919	0.02035
33.0709	0.02039
33.1489	0.02035
33.2279	0.02032
33.3059	0.02032
33.3839	0.02041
33.4629	0.0203
33.5409	0.02051
33.6199	0.02102
33.6979	0.02129
33.7769	0.02068
33.8549	0.02046
33.9339	0.02014
34.0119	0.02013
34.091	0.02018
34.169	0.02017
34.248	0.02013
34.326	0.0201
34.404	0.02006
34.483	0.02022
34.561	0.02021
34.64	0.02031
34.718	0.02035
34.797	0.02041
34.875	0.02051
34.953	0.02061
35.032	0.02075
35.111	0.02085
35.189	0.02116
35.268	0.02151
35.346	0.02192
35.425	0.02177
35.504	0.0214
35.582	0.02118
35.661	0.02103
35.739	0.02097
35.818	0.02082
35.8961	0.02076
35.9751	0.02079
36.0541	0.02076
36.1321	0.02067
36.2101	0.02054
36.2891	0.02063
36.3681	0.02053
36.4461	0.02055
36.5251	0.02048
36.6031	0.0204
36.6811	0.0204
36.7601	0.02055
36.8381	0.02043
36.9171	0.02054
36.9951	0.02105
37.0741	0.02147
37.1521	0.02089
37.2311	0.02053
37.3091	0.02035
37.3881	0.02028
37.4661	0.02024
37.5451	0.0204
37.6232	0.02031
37.7022	0.02011
37.7802	0.02026
37.8582	0.02027
37.9372	0.02038
38.0152	0.02035
38.0942	0.02035
38.1722	0.02048
38.2512	0.02051
38.3292	0.02059
38.4082	0.02071
38.4862	0.02087
38.5652	0.02108
38.6432	0.02139
38.7222	0.02182
38.8002	0.02192
